wallet,token_address,sol_value
ERgtHKpakjFBtcgrh4abzpqFCQKsMdM7QXdE1sfafrWU,JC3MaSFiZcdDecxFhZKtfULxnkUp9DPxdgwYHWHNpump,20.0
3x4NuKpAQu431dAaC2PBEHVUnyb2iimM8LocJkhzxymt,GhE3jvBtMNLhYyqSxDYYMHWUgQD7RMpEkoqaMmRHpump,74.98
9jMpesb6wEv2wpeS3BH42EQ561Te6kVus7JxscR7TCuP,JC3MaSFiZcdDecxFhZKtfULxnkUp9DPxdgwYHWHNpump,10.0
3BYeKGqiZrLih9ztDeJ4FuHksSTjHWotcg6HqFMoXzEa,Gu3LDkn7Vx3bmCzLafYNKcDxv2mH7YN44NJZFXnypump,9.19
HkEiv76Vn7gEw2VtwJisAEEEVLWFBzfvxLJKWpqo8ZwN,A8C3xuqscfmyLrte3VmTqrAq8kgMASius9AFNANwpump,197.23
2gW9oDrEn8tycU5Shc53RgBS2ep5Jvs8EoGr8i6YqMxp,HB8KrN7Bb3iLWUPsozp67kS4gxtbA4W5QJX4wKPvpump,30.0
64DcyhXS36N6Y7cC6G2VgCKHJVK8g6qF7UyLZpJhQktZ,EHRZ7UTweF6uoeVWtKCRXatss9nwbSPDY1tPBt2fpump,16.86
4Fa1ZhVHk9CKBiUUXUhFdr4PXy6XLpYk5co5nYKvqsN4,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,8.7
7tE3p3hwfzAsLV5W2sNABgPWg76EDpHVPTXX2R57vsbw,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,32.0
C6Drpz3oe6ro6BSafMQJGt32LRrxDeDDdQQBZ2yhfwYi,FuQASH8ps9NPeDu4h3rVtMBygKYoSiSTZ4uSiA5tpump,16.6
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,4ytpZgVoNB66bFs6NRCUaAVsLdtYk2fHq4U92Jnjpump,29.4
