score,wallet,gmgn,pumpfun,maxtenminutes,winrate,traded_token,port_token,num_inside,laitren80,avg_roi,latestmonth_avg_pnl_latestmonth,pnl_latestmonth,threemonths_avg_pnl_latestmonth,pnl_threemonths,concatenated_inside
9,AExnw6jJV8mxReFtxWogW33Wjki7hvAgThLmn8yoddM2,"<a href=https://gmgn.ai/sol/address/AExnw6jJV8mxReFtxWogW33Wjki7hvAgThLmn8yoddM2 target=_blank"">🔎 </a>",0,12,19,31,26,1,2,3,2754,71594.0,2754,71594.0,[FRED]
13,23EKRHug33RQeVDrHzHLU9EWPWK5Ch7M7yygGsqWrBMm,"<a href=https://gmgn.ai/sol/address/23EKRHug33RQeVDrHzHLU9EWPWK5Ch7M7yygGsqWrBMm target=_blank"">🔎 </a>",5,27,28,58,42,3,7,59,8217,345134.0,8217,345134.0,[kzl BITCAT MATL]
12,F9QNwp1pQV8KLV1KNuH4o4AXzvNtgi38FnCosiSc2Ebg,"<a href=https://gmgn.ai/sol/address/F9QNwp1pQV8KLV1KNuH4o4AXzvNtgi38FnCosiSc2Ebg target=_blank"">🔎 </a>",0,9,46,21,15,1,6,204,2847,42705.0,7333,146654.0,[SIGMA]
14,BjMcxtNDjkbLi9F52DANggjAX1QiVc6pTX7pPpvVdoWU,"<a href=https://gmgn.ai/sol/address/BjMcxtNDjkbLi9F52DANggjAX1QiVc6pTX7pPpvVdoWU target=_blank"">🔎 </a>",0,0,50,8,8,3,3,405,216110,1728877.0,216110,1728877.0,[MOODENG PESTO ZEREBRO]
11,6KVyzB7Sxx2Rnk7J8ZEhBZPbKyiRq3tPY9YNhtCjcems,"<a href=https://gmgn.ai/sol/address/6KVyzB7Sxx2Rnk7J8ZEhBZPbKyiRq3tPY9YNhtCjcems target=_blank"">🔎 </a>",11,16,17,118,88,4,9,18,3255,286429.0,3103,282416.0,[SIMON Pnut Banana CHILLGUY]
11,FmhDonUB11n5WyRCDEpxnNJhXDVw1JX1XJSD72ssQFhB,"<a href=https://gmgn.ai/sol/address/FmhDonUB11n5WyRCDEpxnNJhXDVw1JX1XJSD72ssQFhB target=_blank"">🔎 </a>",8,0,36,59,58,3,16,55,4027,233578.0,3505,206822.0,[AVA BITCAT ZOA]
13,Eu9sCq4czoMULUtBWoMLuL3huFAM5dprSUmzsQUTS6Sp,"<a href=https://gmgn.ai/sol/address/Eu9sCq4czoMULUtBWoMLuL3huFAM5dprSUmzsQUTS6Sp target=_blank"">🔎 </a>",7,25,31,27,19,1,3,4,5791,110022.0,5791,110022.0,[BITCAT]
6,EJPKxue4Xc6HZwsi4ASCuwQDBq1VB7Urh1XRtaFyBMAg,"<a href=https://gmgn.ai/sol/address/EJPKxue4Xc6HZwsi4ASCuwQDBq1VB7Urh1XRtaFyBMAg target=_blank"">🔎 </a>",0,14,27,14,11,1,3,45,2446,26908.0,1644,21376.0,[@DOGE]
6,5dMrddaDMcrHJVG6CXWqi8Vq9RtH2xEXbpgd1YJc7pTn,"<a href=https://gmgn.ai/sol/address/5dMrddaDMcrHJVG6CXWqi8Vq9RtH2xEXbpgd1YJc7pTn target=_blank"">🔎 </a>",0,2,28,34,28,1,3,16,2598,72755.0,1858,65031.0,[CHAOS]
11,4Q7YcQFRzDxxyyow4WjCXugqt6DSViKXowZoMw4ZVhuH,"<a href=https://gmgn.ai/sol/address/4Q7YcQFRzDxxyyow4WjCXugqt6DSViKXowZoMw4ZVhuH target=_blank"">🔎 </a>",25,19,20,192,153,3,21,118,4102,627644.0,4102,627644.0,[Ropirito BUCK DOGECAST]
